timestamp_utc,active_connections,max_connections,avg_hold_time_ms,queued_requests
2026-07-07T09:55:00,19,50,32,0
2026-07-07T09:58:00,21,50,34,0
2026-07-07T09:59:00,22,50,35,0
2026-07-07T10:00:00,26,50,58,0
2026-07-07T10:01:00,31,50,95,0
2026-07-07T10:02:00,38,50,140,0
2026-07-07T10:03:00,45,50,210,2
2026-07-07T10:04:00,50,50,310,9
2026-07-07T10:05:00,50,50,340,14
2026-07-07T10:06:00,50,50,355,19
2026-07-07T10:07:00,50,50,360,24
2026-07-07T10:08:00,50,50,365,29
2026-07-07T10:09:00,50,50,368,33
2026-07-07T10:10:00,50,50,370,37
2026-07-07T10:12:00,50,50,372,38
2026-07-07T10:15:00,50,50,375,41
2026-07-07T10:18:00,50,50,374,41
2026-07-07T10:20:00,50,50,376,41
